Genome,AMAL11,AMAL12,AMAL13,AMAL14,AMAL15,AMAL17,AMAL18,AMAL20,AMAL1,AMAL2,AMAL3,AMAL5,AMAL7,AMAL8,AMAL9,AMAL10
AAA001_C10_contigs,1.31E-02,7.08E-02,1.06E-03,4.66E-02,0.114825875,9.57E-04,3.96E-02,0.81289995,2.13E-02,8.03E-02,9.18E-02,6.46E-05,0.12840548,8.53E-02,3.57E-02,0.012758635
AB_746_O21_AB_902_clean,2.95E-04,3.90E-04,4.80E-05,3.58E-05,5.94E-04,8.95E-05,4.30E-04,8.27E-04,6.37E-05,3.93E-04,6.32E-04,1.02E-05,3.59E-04,4.12E-04,3.59E-04,0.000249441
AB_747_C02_AB_902_clean,5.50E-04,3.87E-04,2.47E-03,1.70E-03,4.56E-04,2.05E-03,3.92E-03,9.75E-04,2.26E-03,8.90E-04,4.95E-04,1.90E-03,8.29E-04,7.75E-04,1.48E-03,0.000537846
AB_750_I05_AB_904_clean,3.19E-04,3.05E-04,1.07E-04,8.25E-05,4.98E-04,2.33E-04,1.42E-03,5.30E-03,9.13E-05,3.99E-04,5.16E-04,2.22E-05,3.59E-04,3.80E-04,5.47E-04,0.000258388
AB_750_I15_AB_904_clean,7.02E-04,7.91E-04,3.55E-05,1.61E-05,1.51E-03,1.66E-04,1.26E-03,1.81E-03,8.44E-05,1.12E-03,1.85E-03,1.73E-05,1.15E-03,1.17E-03,9.72E-04,0.000475077
AB_750_L07_AB_904_clean,3.04E-04,5.14E-04,3.38E-05,3.69E-05,7.47E-04,8.23E-05,3.67E-04,9.51E-04,3.82E-05,4.35E-04,7.45E-04,1.25E-05,3.44E-04,4.53E-04,4.09E-04,0.000204056
AB_751_B23_AB_904_clean,3.32E-04,4.53E-04,3.64E-05,5.22E-05,6.48E-04,2.12E-04,2.66E-04,5.71E-04,3.42E-05,3.61E-04,7.24E-04,1.95E-05,3.14E-04,4.33E-04,2.81E-04,0.000166182
AB_751_C10_AB_904_clean,1.06E-05,1.77E-05,4.35E-06,0,8.65E-06,8.57E-06,2.06E-05,9.90E-05,6.44E-06,1.49E-05,8.75E-06,2.88E-06,2.40E-06,4.05E-06,7.17E-07,3.88613E-06
AB_751_G13_AB_905_clean,9.45E-06,1.34E-05,8.50E-06,2.94E-06,1.72E-05,3.97E-06,2.24E-05,9.74E-05,1.73E-06,6.13E-06,8.40E-06,3.58E-06,5.42E-06,3.98E-06,7.43E-07,5.13802E-06
AB_754_A14_AB_905_clean,1.09E-04,9.46E-05,6.58E-05,1.21E-04,2.85E-04,3.03E-04,1.99E-04,4.20E-04,1.41E-04,4.27E-04,1.24E-03,4.11E-05,1.02E-03,6.79E-04,6.44E-05,6.1372E-05
