"Genome","type","napA","narG","nirK","nirS","all_nor","nosZ","Domain","Phylum","Class","Order","Family","Genus","Species","Identifier","Source","Completeness","Contamination","X","d","LowerCI","UpperCI","dCUB","nCAZy","nHE","nGenes","IoC","IoC2","functional_type"
"AAA001_C10_contigs","SAG",0,0,1,0,0,0,"Bacteria","SAR324","SAR324","SAR324","NAC60-12","Arctic96AD-7","Arctic96AD-7 sp000213335","AAA001_C10","ODZ",76.18,3.81,1,6.09043572644375,5.02020962615114,7.42904542042781,-0.00400145614504394,46,33,2616,1.93515773575998,2.29523317223908,"nitrite1"
"AB_746_N13_AB_902_clean","SAG",0,1,0,0,0,0,"Bacteria","Marinisomatota","Marinisomatia","Marinisomatales","TCS55","TCS55","","AB-746_N13","ODZ",70.33,1.1,3,5.09214993794158,4.28671665524507,6.07496554518786,-0.0746890654808688,56,32,1974,1.70796282631228,2.60499684736611,"nitrate1"
"AB_746_O21_AB_902_clean","SAG",0,1,1,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","PS1","Thioglobaceae","SUP05","","AB-746_O21","ODZ",84.39,0.66,4,4.06283418997172,3.4966363640815,4.7361024229764,-0.0728802644197074,36,34,1440,1.50969851918524,2.18263650739382,"nitrate2"
"AB_747_C02_AB_902_clean","SAG",0,1,0,1,0,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","GCF-002020875","GCF-002020875","NIOZ-UU100","","AB-747_C02","ODZ",75.61,3.79,5,4.03877256262982,3.47767016449766,4.70559168133026,-0.0903628935793081,21,48,1613,1.84816970834762,1.88878163635571,"nitrate3"
"AB_747_F10_AB_903_clean","SAG",0,0,0,0,0,1,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MED-G11","MED-G11 sp014239615","AB-747_F10","ODZ",73.82,1.54,6,9.34756420290399,7.26009790767294,12.148503972965,0.0237584989924333,24,24,1019,1,1.55491732321272,"N2O1"
"AB_747_I05_AB_903_clean","SAG",1,1,0,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","PS1","Thioglobaceae","SUP05","","AB-747_I05","ODZ",74.85,1.49,7,4.58460818643531,3.90204625445966,5.40686242580684,-0.0502442519591291,24,36,1462,1.5818203165975,1.79123797110731,"nitrate1"
"AB_750_E14_AB_904_clean","SAG",1,0,0,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","GCF-002020875","GCF-002020875","NIOZ-UU100","","AB-750_E14","ODZ",70.93,4.27,8,4.07673716333633,3.50758369111,4.75374927929471,-0.0725220050332416,19,43,1382,1.66668498419229,1.72726267658688,"nitrate1"
"AB_750_I05_AB_904_clean","SAG",1,1,0,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","PS1","Thioglobaceae","UBA2013","","AB-750_I05","ODZ",75.76,2.42,9,3.65618839852683,3.17256285454901,4.22579638965654,-0.107494857327341,28,35,1312,1.63184363599318,2.0995019780081,"nitrate1"
"AB_750_I11_AB_904_clean","SAG",0,0,0,1,1,1,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","","","AB-750_I11","ODZ",70.18,2.64,10,5.72721009429695,4.7565418140064,6.93059017266604,-0.093228964697562,18,33,1129,1.5859142201436,1.74660214419197,"nitrite2"
"AB_750_I15_AB_904_clean","SAG",1,1,1,0,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","PS1","Thioglobaceae","Thioglobus_A","","AB-750_I15","ODZ",81.5,3.31,11,3.52840560434981,3.06908359469259,4.06786900427201,-0.134420783901443,18,36,1426,1.92239887032422,1.92994791521432,"nitrate3"
"AB_750_L07_AB_904_clean","SAG",1,1,1,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","PS1","Thioglobaceae","SUP05","SUP05 sp000205985","AB-750_L07","ODZ",78.8,0.66,12,4.21859923360006,3.61881600519578,4.93453791490495,-0.0633691683138761,32,35,1551,1.59966044556927,2.0447198649668,"nitrate2"
"AB_750_L23_AB_904_clean","SAG",1,0,1,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","PS1","Thioglobaceae","SUP05","","AB-750_L23","ODZ",72.64,0.96,13,4.61493692629508,3.92528617146663,5.44636773245121,-0.0424987929627778,34,30,1391,1.38974805947987,2.02662467739813,"nitrate2"
"AB_750_M13_AB_904_clean","SAG",0,1,0,1,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","GCF-002020875","GCF-002020875","","","AB-750_M13","ODZ",73.8,1.65,14,4.18842876281966,3.59523059979328,4.89597916062687,-0.0716832999956697,20,43,1281,1.58628853074631,1.73958168128257,"nitrate3"
"AB_750_O17_AB_904_clean","SAG",0,0,0,1,1,1,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","","","AB-750_O17","ODZ",79.2,1.34,15,5.93217756848578,4.90575143787587,7.21108788598182,-0.0973986124179004,17,32,1317,1.73753427189108,1.74935206124793,"nitrite2"
"AB_751_B23_AB_904_clean","SAG",1,1,1,0,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","PS1","Thioglobaceae","Thioglobus_A","","AB-751_B23","ODZ",82.98,0,16,3.64439095906906,3.16304366140448,4.21116570226523,-0.126009135924336,26,40,1490,1.84317007697805,2.11589864453448,"nitrate3"
"AB_751_C10_AB_904_clean","SAG",0,0,0,1,1,0,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","","","AB-751_C10","ODZ",87.6,0,17,6.06246857354084,5.00002901192676,7.39044202918095,-0.0864439861067495,15,34,1331,1.73260136545285,1.65625944660536,"nitrite1"
"AB_751_G13_AB_905_clean","SAG",0,0,0,1,1,1,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","","","AB-751_G13","ODZ",81.42,1.36,18,9.39876319916805,7.29385240143903,12.2258727803946,0.0223852304493846,14,18,1314,1.35364394397243,1.23516658198772,"nitrite2"
"AB_754_A14_AB_905_clean","SAG",0,1,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","F082","GCA-002708315","","AB-754_A14","ODZ",78.12,1.71,19,5.68064938967346,4.72248979337403,6.86715873887203,-0.0876403780995354,56,33,1675,1.53152099689777,2.67947427882823,"nitrate1"
